englisch,deutsch
although,obwohl
however,jedoch
therefore,deshalb/daher
instead,stattdessen
while,während
besides,außerdem/abgesehen davon
furthermore,außerdem
ability,Fähigkeit
opportunity,Gelegenheit
experience,Erfahrung
opinion,Meinung
goal,Ziel
reason,Grund
result,Ergebnis
rule,Regel
compare,vergleichen
explain,erklären
describe,beschreiben
discuss,diskutieren/besprechen
recommend,empfehlen
improve,verbessern
develop,entwickeln
reduce,reduzieren
increase,erhöhen/steigen
affect,beeinflussen
avoid,vermeiden
expect,erwarten
promise,versprechen
refuse,ablehnen
accept,akzeptieren
suggest,vorschlagen
prepare,vorbereiten
complain,sich beschweren
apologize,sich entschuldigen
support,unterstützen
confirm,bestätigen
deny,leugnen/abstreiten
arrange,arrangieren/vereinbaren
deliver,liefern
supply,liefern/Versorgung
require,erfordern/benötigen
depend on,abhängen von
deal with,sich befassen mit
solve,lösen
choose,wählen/auswählen
prefer,bevorzugen
manage,bewältigen/leiten
behavior,Verhalten
attitude,Einstellung/Haltung
decision,Entscheidung
community,Gemeinschaft
environment,Umwelt/Umgebung
traffic,Verkehr
education,Bildung
career,Karriere
training,Ausbildung/Training
application,Bewerbung/Anwendung
interview,Vorstellungsgespräch/Interview
deadline,Frist/Abgabetermin
eventually,schließlich
recently,kürzlich
currently,derzeit
rarely,selten
likely,wahrscheinlich
hardly,kaum
nearly,fast/beinahe
