englisch,deutsch
aberration,Abweichung/Anomalie
abstruse,schwer verständlich/abstrus
acquiesce,sich fügen/zugeben
adamant,hartnäckig/unnachgiebig
alacrity,Eifer/Entschlossenheit
anachronistic,anachronistisch
antithetical,entgegengesetzt/antithetisch
aplomb,Selbstsicherheit
arcane,geheimnisvoll/obskur
assiduous,emsig/fleißig
astute,scharfsinnig/gewieft
avarice,Habgier
belie,einen falschen Eindruck geben/widerlegen
blithe,unbekümmert/leichtfertig
candor,Offenheit/Aufrichtigkeit
capricious,launisch/wankelmütig
chicanery,Trickserei/Arglist
circumspect,umsichtig/vorsichtig
commensurate,angemessen/verhältnismäßig
conflagration,Großbrand/Flächenbrand
conundrum,Rätsel/Problem
convivial,gesellig/heiter
deleterious,schädlich
demur,Einwände erheben/zögern
desultory,planlos/abgehackt
diaphanous,durchscheinend/fein
disparate,verschieden/grundverschieden
dissemble,verhehlen/verstellen
effrontery,Unverschämtheit
egregious,ungeheuerlich/krass
enervate,entkräften/schwächen
ephemeral,kurzlebig/flüchtig
equanimity,Gleichmut/Gelassenheit
eschew,meiden/verkneifen
excoriate,scharf tadeln/zerreißen
exculpate,entlasten/freisprechen
exigent,dringend/anspruchsvoll
fastidious,pingelig/anspruchsvoll
furtive,heimlich/verschlagen
gainsay,bestreiten/widersprechen
grandiloquent,geschwollen/hochtrabend
implacable,unerbittlich/unversöhnlich
inchoate,unfertig/anfänglich
ineluctable,unausweichlich
innocuous,harmlos
inscrutable,unergründlich
intransigent,unversöhnlich
lugubrious,düster/traurig
mendacious,verlogen
obdurate,verstockt/hartnäckig
obfuscate,verschleiern/verdunkeln
obsequious,unterwürfig
parsimonious,geizig/knauserig
perfunctory,halbherzig/routinemäßig
perspicacious,scharfsichtig
recalcitrant,widerspenstig
recondite,schwer verständlich/verborgen
sagacious,weise/klug
sanguine,zuversichtlich/rosig
supercilious,hochnäsig/überheblich
truculent,streitsüchtig/angriffslustig
vicissitude,Wechsel/Wechselfälle
