englisch,deutsch
because,weil
before,bevor
after,nachdem
during,während
until,bis
since,seit/da
though,obwohl
if,wenn/falls
always,immer
often,oft
usually,gewöhnlich
sometimes,manchmal
rarely,selten
never,nie
together,zusammen
alone,allein
already,schon
still,noch
yet,schon/noch
long time ago,vor langer Zeit
under,unter
over,über
between,zwischen
behind,hinter
in front of,vor
next to,neben
across,gegenüber/über
through,durch
into something,in etwas hinein
out of something,aus etwas heraus
everyone,jeder/alle
someone,jemand
anyone,irgendjemand
no one,niemand
something,etwas
anything,irgendetwas
nothing,nichts
few,wenige
a few,ein paar
many,viele
much,viel
several,mehrere
some,einige/manches
any,irgendwelche/keine
each,jede/r/s
both,beide
cheap,billig
expensive,teuer
clean,sauber
dirty,schmutzig
strong,stark
weak,schwach
light,hell/leicht
dark,dunkel
early,früh
late,spät
borrow,ausleihen
lend,leihen
arrive,ankommen
leave,weggehen/abfahren
travel,reisen
holiday,Urlaub/Ferien
ticket,Ticket/Fahrkarte
airport,Flughafen
station,Bahnhof/Haltestelle
doctor,Arzt/Ärztin
hospital,Krankenhaus
medicine,Medizin/Arznei
police,Polizei
post office,Post
bank,Bank
market,Markt
price,Preis
money,Geld
buy,kaufen
sell,verkaufen
pay,bezahlen
cost,kosten
meal,Mahlzeit
breakfast,Frühstück
lunch,Mittagessen
dinner,Abendessen
kitchen,Küche
bathroom,Badezimmer
bedroom,Schlafzimmer
living room,Wohnzimmer
weather,Wetter
rain,Regen
snow,Schnee
windy,windig
cloudy,bewölkt
sunny,sonnig
invite,einladen
celebrate,feiern
practice,üben
prefer,bevorzugen
decide,entscheiden
